date,country,iso3c,region,subregion,population,hospital_beds_per_thousand,population_density,median_age,aged_65_older,aged_70_older,life_expectancy,daily_covid_deaths,daily_covid_deaths_per_100k,daily_covid_cases,daily_covid_cases_per_100k,daily_tests,daily_tests_per_100k,daily_positive_rate,daily_vaccinations,daily_vaccinations_per_100k,vaccinated_pct,fully_vaccinated_pct,EU,continent,group,daily_vaccinations_per_100k_region_average,vaccinated_pct_region_average,fully_vaccinated_pct_region_average,daily_vaccinations_region_average,total_doses,total_doses_lagged_1_day,prediction,rate
2020-12-03,Denmark,DNK,Europe,Northern Europe,5792203,2.5,136.52,42.3,19.677,12.325,80.9,6.714,0.11591444567809521,1392.857,24.047102630898813,74788,1291.1840279078617,1.9,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-03,Estonia,EST,Europe,Northern Europe,1326539,4.69,31.033,42.7,19.452,13.491,78.74,3.429,0.25849221168770764,359.143,27.073685734079433,5121,386.04217441025105,7.000000000000001,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-03,Finland,FIN,Europe,Northern Europe,5540718,3.28,18.136,42.8,21.228,13.264,81.91,2.857,0.05156371430561888,467.714,8.441396945305645,18998,342.87974951982756,2.5,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-03,France,FRA,Europe,Western Europe,67564251,5.98,122.578,42,19.718,13.079,82.66,455.714,0.6744898274680793,10678.143,15.804427403479986,166329,246.17900374563465,6.3,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-03,Germany,DEU,Europe,Western Europe,83783945,8,237.016,46.6,21.453,15.957,81.33,351,0.41893467775956356,17673.429,21.094052088380415,198500,236.91889896089282,9.3,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-03,Greece,GRC,Europe,Southern Europe,10423056,4.21,83.479,45.3,20.396,14.524,82.24,100.714,0.9662617182523053,1747.286,16.763663171338617,25328,242.9997497854756,6.9,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-03,Hungary,HUN,Europe,Eastern Europe,9660350,7.02,108.043,43.4,18.577,11.976,76.88,156.429,1.619289156189993,5685.286,58.85176002939852,16367,169.42450325298773,34.699999999999996,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-03,Ireland,IRL,Europe,Northern Europe,4937796,2.96,69.874,38.7,13.928,8.678,82.3,6.286,0.1273037606251858,247.714,5.016691657573541,10626,215.19722564480185,2.3,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-03,Italy,ITA,Europe,Southern Europe,60461828,3.18,205.859,47.9,23.021,16.24,83.51,741.143,1.2258031629477033,22136.286,36.612002534888624,195070,322.63331502315805,11.3,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-03,Latvia,LVA,Europe,Northern Europe,1886202,5.57,31.212,43.9,19.754,14.136,75.29,6.714,0.35595339205450954,590.857,31.325223915572135,6642,352.13619750164617,8.9,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-03,Lithuania,LTU,Europe,Northern Europe,2722291,6.56,45.135,43.5,19.002,13.778,75.93,24,0.8816103789051207,1903.714,69.93058420279095,11381,418.06698842996576,17.9,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-03,Luxembourg,LUX,Europe,Western Europe,625976,4.51,231.447,39.7,14.312,9.842,82.25,6.429,1.0270361803008423,508,81.15327105192532,9717,1552.2959346684218,5.2,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-03,Malta,MLT,Europe,Southern Europe,441539,4.485,1454.037,42.4,19.426,11.324,82.53,3.286,0.7442151202951495,113.143,25.62469000473344,2923,662.0026770002197,3.9,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-03,Netherlands,NLD,Europe,Western Europe,17134873,3.32,508.544,43.2,18.779,11.881,82.28,55,0.3209828284108088,5117.143,29.86390970041039,25538,149.041081308277,10.6,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-03,Poland,POL,Europe,Eastern Europe,37846605,6.62,124.027,41.8,16.763,10.202,78.73,465.714,1.23053045312783,12499.714,33.02730588384348,35893,94.83809710276522,34.8,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-03,Portugal,PRT,Europe,Southern Europe,10196707,3.39,112.371,46.2,21.502,14.924,82.05,73.571,0.7215172506182633,3889.143,38.14116655504566,33048,324.10463495714845,11.799999999999999,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-03,Romania,ROU,Europe,Eastern Europe,19237682,6.892,85.129,43,17.85,11.69,76.05,166.286,0.8643764877702002,6123.143,31.828902255479637,22589,117.42059152448824,27.1,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-03,Slovakia,SVK,Europe,Eastern Europe,5459643,5.82,113.128,41.2,15.07,9.167,77.54,25.857,0.4736023948818631,1421.571,26.037801372727117,32293,591.4855605027655,7.9,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-03,Slovenia,SVN,Europe,Southern Europe,2078932,4.5,102.619,44.5,19.062,12.93,81.32,49.571,2.3844454748880675,1468,70.61318022907916,5591,268.9361653002599,26.6,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-03,Spain,ESP,Europe,Southern Europe,46754783,2.97,93.105,45.5,19.436,13.799,83.56,237.714,0.5084271271240848,8363.857,17.888773005320118,130593,279.31473877228774,6.4,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-03,Sweden,SWE,Europe,Northern Europe,10099270,2.22,24.718,41,19.985,13.433,82.8,55,0.544593817176885,5184,51.33044269536313,39180,387.9488319452792,13.200000000000001,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-03,United Kingdom,GBR,Europe,Northern Europe,67886004,2.54,272.898,40.8,18.517,12.527,81.32,440.286,0.6485666765715066,14284.143,21.041366641642362,309091,455.30887338721544,4.6,NA,NA,NA,NA,not EU,Europe,Britain,0,0,0,0,0,0,NA,0
2020-12-03,United States,USA,Americas,Northern America,331002647,2.77,35.608,38.3,15.413,9.732,78.86,1944.714,0.5875221898149957,182699.571,55.19580361543151,1650613,498.6706344979773,11,NA,NA,NA,NA,not EU,North America,United States,0,0,0,0,0,0,NA,0
2020-12-04,Austria,AUT,Europe,Western Europe,9006400,7.37,106.749,44.4,19.202,13.748,81.54,109.286,1.2134260081719666,3750.429,41.64182137146918,26925,298.9540771007284,NA,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-04,Belgium,BEL,Europe,Western Europe,11589616,5.64,375.564,41.8,18.571,12.849,81.63,114.714,0.9897998346105685,2372.857,20.473991545535245,30046,259.2493142136892,8.799999999999999,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-04,Bulgaria,BGR,Europe,Eastern Europe,6948445,7.454,65.18,44.7,20.801,13.272,75.05,138.571,1.9942735388997106,2693.143,38.75893095505541,7073,101.79255934241401,38.1,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-04,Canada,CAN,Americas,Northern America,37742157,2.5,4.037,41.4,16.984,10.797,82.43,89.714,0.23770236555372284,6226.429,16.49727915656755,119331,316.1742981462347,5.2,NA,NA,NA,NA,not EU,North America,Canada,0,0,0,0,0,0,NA,0
2020-12-04,Croatia,HRV,Europe,Southern Europe,4105268,5.54,73.726,44,19.724,13.053,78.49,61.714,1.5032879704808553,3380.571,82.3471451802903,9438,229.8997288362173,35.8,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-04,Czechia,CZE,Europe,Eastern Europe,10708982,6.63,137.176,43.3,19.027,11.58,79.38,110.143,1.0285104597243697,3774.571,35.246776957884514,33882,316.38861658372383,11.1,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-04,Denmark,DNK,Europe,Northern Europe,5792203,2.5,136.52,42.3,19.677,12.325,80.9,7.286,0.12578979017137348,1432.857,24.737686161897294,76174,1315.1127472569592,1.9,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
