date,country,iso3c,region,subregion,population,hospital_beds_per_thousand,population_density,median_age,aged_65_older,aged_70_older,life_expectancy,daily_covid_deaths,daily_covid_deaths_per_100k,daily_covid_cases,daily_covid_cases_per_100k,daily_tests,daily_tests_per_100k,daily_positive_rate,daily_vaccinations,daily_vaccinations_per_100k,vaccinated_pct,fully_vaccinated_pct,EU,continent,group,daily_vaccinations_per_100k_region_average,vaccinated_pct_region_average,fully_vaccinated_pct_region_average,daily_vaccinations_region_average
2020-12-14,Germany,DEU,Europe,Western Europe,83783945,8,237.016,46.6,21.453,15.957,81.33,457.143,0.5456212404417099,22465,26.813012922702555,219760,262.29368884456323,11.200000000000001,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0
2020-12-14,Italy,ITA,Europe,Southern Europe,60461828,3.18,205.859,47.9,23.021,16.24,83.51,629.286,1.040798832612206,16168.571,26.741783261994662,154633,255.7531009482545,10.5,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0
2020-12-14,Spain,ESP,Europe,Southern Europe,46754783,2.97,93.105,45.5,19.436,13.799,83.56,195.286,0.4176813311271277,7079.429,15.14161449535548,125118,267.6047068810051,5.7,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0
2020-12-14,United Kingdom,GBR,Europe,Northern Europe,67886004,2.54,272.898,40.8,18.517,12.527,81.32,424.143,0.6247871063378542,18906,27.849628621534418,345222,508.5319206592275,5.5,NA,NA,NA,NA,not EU,Europe,Britain,0,0,0,0
2020-12-14,United States,USA,Americas,Northern America,331002647,2.77,35.608,38.3,15.413,9.732,78.86,2566.143,0.7752635887531136,216957,65.54539728499513,1815873,548.5977276791989,12,NA,NA,NA,NA,not EU,North America,United States,0,0,0,0
2020-12-15,Canada,CAN,Americas,Northern America,37742157,2.5,4.037,41.4,16.984,10.797,82.43,114.286,0.30280728258323975,6617.286,17.53287709549828,128820,341.3159454558996,5.1,1854.5,4.91360363955881,0,NA,not EU,North America,Canada,4.91360363955881,0,0,1854.5
2020-12-15,France,FRA,Europe,Western Europe,67564251,5.98,122.578,42,19.718,13.079,82.66,390.143,0.5774399837570906,11766.143,17.414746446312268,213959,316.67486404903684,5.8999999999999995,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0
2020-12-15,Germany,DEU,Europe,Western Europe,83783945,8,237.016,46.6,21.453,15.957,81.33,506,0.6039343217844421,23116.714,27.590863619515652,222944,266.09393959666136,11.200000000000001,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0
2020-12-15,Italy,ITA,Europe,Southern Europe,60461828,3.18,205.859,47.9,23.021,16.24,83.51,659.571,1.0908882874001098,16168.857,26.74225628771925,156804,259.3437962213117,10.299999999999999,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0
2020-12-15,Spain,ESP,Europe,Southern Europe,46754783,2.97,93.105,45.5,19.436,13.799,83.56,250.714,0.536231769057724,8554.857,18.297287359883587,129536,277.05400750122186,6.6000000000000005,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0
